id,name,security,cost_index
30000091,Eshwil,0.2189684715,0
30000092,Aranir,0.2427886070,0
30000093,Ishkad,0.3660355384,0
30000094,Hahyil,0.2081148417,0
30000095,Asilem,0.2849976955,0
30000096,Mahnagh,0.2050033780,0
30000097,Shach,0.3260430802,0
30000098,Kehrara,0.3648440243,0
30000099,Arena,0.4423298817,0
30000100,Timeor,0.3141310687,0
30000101,Uhtafal,0.4996122855,0
30000102,Dysa,0.2361953092,0
30000103,Serad,0.5258363731,0
30000104,Mahti,0.2282817864,0
30000105,Abha,0.4341013131,0
30000106,Shedoo,0.5061177385,0
30000107,Gamis,0.4739061737,0
30000108,Nieril,0.3534402077,0
30000109,Berta,0.4895572339,0
30000110,Bekirdod,0.4053491153,0
30000111,Hothomouh,0.4229810281,0
30000112,Arnola,0.4628354025,0
30000113,Astabih,0.4088175891,0
30000114,Ubtes,0.3360732465,0
30000115,Bimener,0.2700411978,0
30000116,Kenobanala,0.2893983494,0
30000117,Khabi,0.2486186152,0
30000118,Uanzin,0.4339720254,0
30000119,Itamo,0.6717383428,0
30000120,Mitsolen,0.6337059450,0
30000121,Jatate,0.6374281330,0
30000122,Mahtista,0.6582375509,0
30000123,Vaankalen,0.6471703744,0
30000124,Kylmabe,0.7319313204,0
30000125,Ahtulaima,0.6126889152,0
30000126,Geras,0.6501464617,0
30000127,Sirseshin,0.7479928157,0
30000128,Tuuriainas,0.6108489266,0
30000129,Unpas,0.9459645526,0
30000130,Shihuken,0.8745849748,0
30000131,Nomaa,0.6069360862,0
30000132,Ansila,0.9120170099,0
30000133,Hirtamon,0.9747262069,0
30000134,Hykkota,0.8236534653,0
30000135,Outuni,0.7341722992,0
30000136,Ohmahailen,0.6638108229,0
30000137,Eskunen,0.6252939349,0
30000138,Ikuchi,0.9868146226,0
30000139,Urlen,0.9599952108,0
30000140,Maurasi,0.9127475930,0
30000141,Kisogo,1.0000000000,0
30000142,Jita,0.9459131167,0
30000143,Niyabainen,0.9639236003,0
30000144,Perimeter,0.9531232306,0
30000145,New Caldari,1.0000000000,0
30000146,Saisio,0.6524402583,0
30000147,Abagawa,0.6252975240,0
30000148,Jakanerva,0.7432522649,0
30000149,Gekutami,0.6991872083,0
30000150,Hurtoken,0.5859779984,0
30000151,Uoyonen,0.6987804104,0
30000152,Hampinen,0.5413266815,0
30000153,Poinen,0.5580525767,0
30000154,Liekuri,0.6006082952,0
30000155,Obanen,0.5617317332,0
30000156,Josameto,0.5776562929,0
30000157,Otela,-1.0000000000,0
30000158,Olo,0.6760405466,0
30000159,Ikami,0.5320082852,0
30000160,Reisen,0.5185605593,0
30000161,Purjola,0.5205267610,0
30000162,Maila,0.4407153812,0
30000163,Akora,0.3246248762,0
30000164,Messoya,0.3150860242,0
30000165,Ishisomo,0.6508315431,0
30000166,Airmia,0.6231131515,0
30000167,Sakkikainen,0.5948887487,0
30000168,Friggi,0.5091529560,0
30000169,Ihakana,0.3808086781,0
30000170,Vahunomi,0.5315917757,0
30000171,Otitoh,0.4816668913,0
30000172,Otomainen,0.4791586004,0
30000173,Vattuolen,0.7080730712,0
30000174,Onuse,0.7404270630,0
30000175,Soshin,0.6342210277,0
30000176,Keikaken,0.7213192305,0
30000177,Ukkalen,0.6451198629,0
30000178,Akkilen,0.6890455733,0
30000179,Silen,0.5222028788,0
30000180,Osmon,0.6802642981,0
30000181,Korsiki,0.6431657594,0
30000182,Inaya,0.5523502238,0
30000183,Nuken,0.7613056823,0
30000184,Uminas,0.4839091542,0
30000185,Airaken,0.5039918822,0
30000186,Oijanen,0.3519686534,0
30000187,Wuos,0.5617738684,0
30000188,Hentogaira,0.5669582798,0
30000189,Kiainti,0.5285221071,0
30000190,Vasala,0.4937122829,0
30000191,Walvalin,0.3786832071,0
30000192,Otanuomi,-1.0000000000,0
30000193,Vouskiaho,0.5002789626,0
30000194,Otsela,0.3843998760,0
30000195,Tasti,0.2822909694,0
30000196,Otosela,0.2381571307,0
30000197,Uemon,0.1974467806,0
30000198,Paala,0.1343789522,0
30000199,Fuskunen,0.2246366235,0
30000200,Akkio,0.1621514141,0
30000201,Uchoshi,0.4741790498,0
30000202,Mastakomon,0.4569661039,0
30000203,Eruka,0.4172608157,0
30000204,Ohkunen,0.3848866895,0
30000205,Obe,0.3469314814,0
30000206,Wirashoda,-1.0000000000,0
30000207,Osaa,0.3291989355,0
30000208,LZ-6SU,-0.1727831272,0
30000209,MC6O-F,-0.2804349532,0
30000210,U54-1L,-0.2680697672,0
30000211,B-588R,-0.1547702256,0
30000212,NCGR-Q,-0.2605165326,0
30000213,G-LOIT,-0.1570092989,0
30000214,HE-V4V,-0.2144029344,0
30000215,N-HSK0,-0.3604404502,0
30000216,05R-7A,-0.4017755511,0
30000217,7-UH4Z,-0.3638713436,0
30000218,5ZO-NZ,-0.3034607984,0
30000219,FS-RFL,-0.3708158237,0
30000220,Y0-BVN,-0.4395372506,0
30000221,X97D-W,-0.4276449021,0
30000222,0-R5TS,-0.2186268061,0
30000223,H-UCD1,-0.1722287636,0
30000224,7-K5EL,-0.1505020563,0
30000225,H-5GUI,-0.1405149800,0
30000226,FH-TTC,-0.1375529255,0
30000227,FMBR-8,-0.1384410888,0
30000228,3HX-DL,-0.4238191363,0
30000229,UH-9ZG,-0.4625835913,0
30000230,NFM-0V,-0.4991225788,0
30000231,YXIB-I,-0.5069950556,0
30000232,MY-T2P,-0.3770807827,0
30000233,FA-DMO,-0.3855828165,0
30000234,GEKJ-9,-0.3863537569,0
30000235,Q-R3GP,-0.3551379998,0
30000236,N-5QPW,-0.3925579007,0
30000237,XV-8JQ,-0.3949292485,0
30000238,WBR5-R,-0.5158034428,0
30000239,4GYV-Q,-0.5365561448,0
30000240,4-HWWF,-0.4730263529,0
30000241,YMJG-4,-0.4168935404,0
30000242,8TPX-N,-0.4371916089,0
30000243,PM-DWE,-0.4236528689,0
30000244,K8X-6B,-0.4302153935,0
30000245,X445-5,-0.4137535228,0
30000246,KRUN-N,-0.3866967383,0
30000247,9OO-LH,-0.4669643271,0
30000248,V-OJEN,-0.3168427103,0
30000249,EIDI-N,-0.4061064359,0
30000250,P3EN-E,-0.2748796674,0
30000251,49-0LI,-0.3201043640,0
30000252,IPAY-2,-0.3391336951,0
30000253,DAYP-G,-0.3927612806,0
30000254,IFJ-EL,-0.2915992331,0
30000255,47L-J4,-0.2613924205,0
30000256,Q-L07F,-0.3223471876,0
30000257,E-D0VZ,-0.2703388866,0
30000258,6WW-28,-0.2266559039,0
30000259,A8A-JN,-0.2706317540,0
30000260,S-NJBB,-0.2815867005,0
30000261,T-GCGL,-0.7339960621,0
30000262,0MV-4W,-0.6627406505,0
30000263,TVN-FM,-0.6457986553,0
30000264,V-NL3K,-0.7635342351,0
30000265,AZBR-2,-0.7090482113,0
30000266,Z-8Q65,-0.7746851045,0
30000267,0J3L-V,-0.7907073327,0
30000268,H-NOU5,-0.1406062024,0
30000269,KX-2UI,-0.1582737157,0
30000270,MO-FIF,-0.1132238695,0
30000271,97-M96,-0.1888732808,0
30000272,MA-XAP,-0.0972100661,0
30000273,C-J7CR,-0.0854802019,0
30000274,Q-EHMJ,-0.1533721336,0
30000275,XSQ-TF,-0.1554342519,0
30000276,H-1EOH,-0.1712750011,0
30000277,IR-DYY,-0.1593389436,0
30000278,C-DHON,-0.1239549047,0
30000279,F-D49D,-0.1909375463,0
30000280,MQ-O27,-0.1289936203,0
30000281,H-EY0P,-0.1560862925,0
30000282,UNAG-6,-0.2235419598,0
30000283,E-SCTX,-0.2084510466,0
30000284,S6QX-N,-0.2176908690,0
30000285,IT-YAU,-0.1594597043,0
30000286,1VK-6B,-0.1691390234,0
30000287,7-PO3P,-0.2578908501,0
30000288,1W-0KS,-0.1025559519,0
30000289,669-IX,-0.2701582846,0
30000290,0R-F2F,-0.3128408295,0
30000291,R-P7KL,-0.2639812938,0
30000292,2DWM-2,-0.2040389013,0
30000293,XF-PWO,-0.3122084627,0
30000294,1N-FJ8,-0.2232949017,0
30000295,VI2K-J,-0.1317824258,0
30000296,ZLZ-1Z,-0.1710724641,0
30000297,6Y-WRK,-0.1556599728,0
30000298,RVCZ-C,-0.1424955173,0
30000299,5T-KM3,-0.1659744083,0
30000300,LS9B-9,-0.1989296094,0
30000301,1-GBBP,-0.7717415732,0
30000302,C-FP70,-0.7587705942,0
30000303,T-ZWA1,-0.7516916139,0
30000304,ZA0L-U,-0.8051051029,0
30000305,G96R-F,-0.8733299345,0
30000306,Y-ZXIO,-0.9004377936,0
30000307,B-E3KQ,-0.2554699380,0
30000308,Y5J-EU,-0.2187531175,0
30000309,O-LR1H,-0.2471641828,0
30000310,G5ED-Y,-0.2666063228,0
30000311,BR-6XP,-0.2478877594,0
30000312,8-TFDX,-0.1907659764,0
30000313,UL-4ZW,-0.4081373272,0
30000314,A-QRQT,-0.1278022783,0
30000315,WMBZ-U,-0.0865989933,0
30000316,PX5-LR,-0.1716442535,0
30000317,A3-RQ3,-0.2962836497,0
30000318,9-GBPD,-0.1596233249,0
30000319,LS-JEP,-0.2434772448,0
30000320,R-RSZZ,-0.4364386566,0
30000321,MGAM-4,-0.5753650408,0
30000322,VORM-W,-0.5585461829,0
30000323,7G-H7D,-0.3578075476,0
30000324,Q3-BAY,-0.8099135175,0
30000325,JZV-F4,-0.8524244587,0
30000326,WF-1LM,-0.0019004979,0
30000327,D95-FQ,-0.0002124923,0
30000328,ZSPJ-K,-0.0002760118,0
30000329,U1F-86,-0.0005525830,0
30000330,T-P7A6,-0.0013515536,0
30000331,Y-T3JJ,-0.0008814634,0
30000332,F3R-IA,-0.0016309920,0
30000333,74-YTJ,-0.0040542352,0
30000334,8-RS3U,-0.0004640348,0
30000335,OVFN-N,-0.0005943312,0
30000336,1Q-BBM,-0.0004888445,0
30000337,WXNC-N,-0.0005536703,0
30000338,G-EA07,-0.0010568747,0
30000339,X-L6BO,-0.0013174137,0
30000340,D-PHUA,-0.0009382757,0
30000341,3-HXHQ,-0.0024862611,0
30000342,18A-NB,-0.0016391557,0
30000343,3-J5OQ,-0.0007147495,0
30000344,GYF-GD,-0.0020920325,0
30000345,W-6TS9,-0.0006130009,0
30000346,VIG-VR,-0.0017852688,0
30000347,KX-P5C,-0.0010976054,0
30000348,N-FJBK,-0.0012391152,0
30000349,2-4ZT5,-0.0014363248,0
30000350,NVN-6F,-0.0018491407,0
30000351,09-8TH,-0.0020143056,0
30000352,TI0-AX,-0.0017349494,0
30000353,7O-POM,-0.0001038496,0
30000354,L6Q-SX,-0.0001580466,0
30000355,BFJ-TB,-0.0002553213,0
30000356,ZZ7-L6,-0.0001252820,0
30000357,L-CHVW,-0.0001038043,0
30000358,X0LN-U,-0.0004962348,0
30000359,RQAE-M,-0.0003327959,0
30000360,7CO-SA,-0.0003648599,0
30000361,4G-E5A,-0.0007803386,0
30000362,A-VWK9,-0.0002242965,0
30000363,JQHP-4,-0.0001648977,0
30000364,6Q5K-5,-0.0002529921,0
30000365,P-MVFP,-0.0001720005,0
30000366,J-Z1UW,-0.0009386588,0
30000367,W477-P,-0.0003318966,0
30000368,NQ1-BL,-0.0007704462,0
30000369,K7A-G8,-0.0006646602,0
30000370,HP-PMX,-0.0004596785,0
30000371,6BN-K9,-0.0004098643,0
30000372,WLE-PY,-0.0008182830,0
30000373,EH-HXW,-0.0003403816,0
30000374,OS-RR3,-0.0006353403,0
30000375,V4-GZL,-0.0002443072,0
30000376,4C-Z91,-0.0016207695,0
30000377,RU-97T,-1.0000000000,0
30000378,1S-1V7,-0.0008983219,0
30000379,PE1-R1,-0.0022107225,0
30000380,Polaris,-0.0006333671,0
30000381,JB-007,-0.0011705007,0
30000382,USJ2-M,-0.0001981191,0
30000383,7M-RAL,-0.0002657163,0
30000384,LPBU-U,-0.0001747425,0
30000385,RF-342,-0.0001567236,0
30000386,J2V-XY,-0.0002976744,0
30000387,Z-JBTR,-0.0000902817,0
30000388,S-QNXH,-0.0001280696,0
30000389,S94-X8,-0.0002035868,0
30000390,J-YQEC,-0.0003308746,0
30000391,8MX-OR,-0.0004372733,0
30000392,97YC-C,-0.0004977616,0
30000393,V-AMD5,-0.0005061372,0
30000394,U-JC8X,-0.0002100013,0
30000395,1HH3-E,-0.0000708587,0
30000396,DUIU-Q,-0.0000496268,0
30000397,LQH0-H,-0.0000308065,0
30000398,FRW3-2,-0.0000373502,0
30000399,9MX-1C,-0.0000424615,0
30000400,IED-4U,-0.0000545918,0
30000401,N-9EOQ,-0.0000313992,0
30000402,6F3-TK,-0.0000937668,0
30000403,2E0P-2,-0.0000531533,0
30000404,U-ITH5,-0.0000455664,0
30000405,N-4G5L,-0.0000774434,0
30000406,RB-2EA,-0.0000424573,0
30000407,ZK5-42,-0.0001251119,0
30000408,YRZ-E4,-0.0000127467,0
30000409,A3-PAT,-0.0000151419,0
30000410,H55-2R,-0.0000136963,0
30000411,P6-DBM,-0.0000188258,0
30000412,9XI-0X,-0.0000106744,0
30000413,Q8T-MC,-0.0000077309,0
30000414,Z-YOJ9,-0.0015133706,0
30000415,4T4B-L,-0.0019535977,0
30000416,F-JB3H,-0.0037660877,0
30000417,XBO7-F,-0.0042400345,0
30000418,FI-449,-0.0042843871,0
30000419,UA7-U4,-0.0059208027,0
30000420,VM-QFU,-0.0000046415,0
30000421,PU-1Z8,-0.0000049521,0
30000422,IEZW-V,-0.0000032122,0
30000423,B-DXO9,-0.0000018222,0
30000424,1TS-WN,-9.836E-7,0
30000425,16-31U,-9.709E-7,0
30000426,H472-N,-0.0000013443,0
30000427,U8MM-3,-0.0000084732,0
30000428,3C-26I,-0.0000085144,0
30000429,9K-VDI,-0.0000053489,0
30000430,L-SDU7,-0.0000165693,0
30000431,4-IPWK,-0.0000085821,0
30000432,Q-KCK3,-0.0000165342,0
30000433,WU-FHQ,-0.2606911565,0
30000434,V-4DBR,-0.3225648359,0
30000435,B-5UFY,-0.4014222456,0
30000436,SK42-F,-0.3158692360,0
30000437,EU9-J3,-0.2510197709,0
30000438,PQRE-W,-0.6204132963,0
30000439,OEG-K9,-0.7984868007,0
30000440,0-W778,-0.2174658913,0
30000441,DG-8VJ,-0.3525865389,0
30000442,5J4K-9,-0.2015724632,0
30000443,MD-0AW,-0.1995432358,0
30000444,H-FGJO,-0.2051128406,0
30000445,1KAW-T,-0.4024754267,0
30000446,C5-SUU,-0.5090262732,0
30000447,XSUD-1,-0.3370332710,0
30000448,3-LJW3,-0.6152691198,0
30000449,ZLO3-V,-0.5857486990,0
30000450,P7MI-T,-0.4048852275,0
30000451,JFV-ID,-0.3557651908,0
30000452,3-3EZB,-0.5075816330,0
30000453,52CW-6,-0.4585950841,0
30000454,9-OUGJ,-0.3606518538,0
30000455,4NDT-W,-0.3336065075,0
30000456,GR-X26,-0.3237183340,0
30000457,6OU9-U,-0.3159863061,0
30000458,9N-0HF,-0.2623742678,0
30000459,U-OVFR,-0.3099517664,0
30000460,G3D-ZT,-0.3351458875,0
30000461,D-0UI0,-0.3230920283,0
30000462,L8-WNE,-0.4376930996,0
30000463,1-GBVE,-0.4374977791,0
30000464,GC-LTF,-0.2643469714,0
30000465,NB-ALM,-0.4587692850,0
30000466,LT-XI4,-0.2446022571,0
30000467,L-QQ6P,-0.3518202398,0
30000468,5OJ-G2,-0.4691366851,0
30000469,9-02G0,-0.4749472751,0
30000470,XA5-TY,-0.5303782493,0
30000471,M-XUZZ,-0.4594491438,0
30000472,OFVH-Y,-0.3003791833,0
30000473,2-X0PF,-0.3777087784,0
30000474,1-PGSG,-0.4965527513,0
30000475,QLPX-J,-0.2788776212,0
30000476,A-C5TC,-0.2414721321,0
30000477,RZ-PIY,-0.2305845359,0
30000478,FR46-E,-0.2691451606,0
30000479,SLVP-D,-0.5720547239,0
30000480,0-G8NO,-0.6865977718,0
30000481,QRFJ-Q,-0.5273303580,0
30000482,HZFJ-M,-0.7140626636,0
30000483,77S8-E,-0.8197735267,0
30000484,FMH-OV,-0.9011149255,0
30000485,TYB-69,-0.3368960897,0
30000486,EDQG-L,-0.2142201616,0
30000487,7-P1JO,-0.2487706348,0
30000488,T-0JWP,-0.2380961298,0
30000489,J-L9MA,-0.2384625916,0
30000490,DX-TAR,-0.2352479535,0
30000491,A-7XFN,-0.2320007601,0
30000492,O3-4MN,-0.2527214515,0
30000493,U-MFTL,-0.3095529442,0
30000494,8FN-GP,-0.5116518940,0
30000495,FIDY-8,-0.5152087552,0
30000496,X40H-9,-0.6225172557,0
30000497,F2W-C6,-0.7096158890,0
30000498,KZ9T-C,-0.7716695217,0
30000499,XW2H-V,-0.8655767743,0
30000500,F9O-U9,-0.1694332894,0
30000501,S-51XG,-0.1426498837,0
30000502,E-1XVP,-0.2103908003,0
30000503,E-ACV6,-0.1558700060,0
30000504,BOZ1-O,-0.1527507424,0
30000505,QIMO-2,-0.1545027556,0
30000506,Z-2Y2Y,-0.1524732896,0
30000507,Q0J-RH,-0.1351724098,0
30000508,SAI-T9,-0.3066237125,0
30000509,IAS-I5,-0.3932012571,0
30000510,K7S-FF,-0.3363892210,0
30000511,RT-9WL,-0.5008711424,0
30000512,O5Q7-U,-0.6021052316,0
30000513,62O-UE,-0.5637633615,0
30000514,U0W-DR,-0.2442084603,0
30000515,SY-UWN,-0.1792128283,0
30000516,DX-DFJ,-0.2735606615,0
30000517,X-31TE,-0.2012819085,0
30000518,DVWV-3,-0.3628853061,0
30000519,KE-0FB,-0.2485389004,0
30000520,I-9GI1,-0.2014115983,0
30000521,W6P-7U,-0.3227901012,0
30000522,0IF-26,-0.3963359052,0
30000523,H-93YV,-0.3275323104,0
30000524,E51-JE,-0.2801027878,0
30000525,7-A6XV,-0.4520587452,0
30000526,QXE-1N,-0.3476313136,0
30000527,U69-YC,-0.5164991974,0
30000528,L-L7PE,-0.5593778237,0
30000529,MKIG-5,-0.2219971708,0
30000530,YHEN-G,-0.1995273933,0
30000531,E-JCUS,-0.2156269330,0
30000532,W-QN5X,-0.2722109230,0
30000533,LP1M-Q,-0.2433828464,0
30000534,30-YOU,-0.2664210938,0
30000535,384-IN,-0.2043792465,0
30000536,4F89-U,-0.2453493411,0
30000537,G063-U,-0.2959991164,0
30000538,J7-BDX,-0.4110933245,0
30000539,MLQ-O9,-0.1964369320,0
30000540,L-FM3P,-0.1708690041,0
30000541,X-ARMF,-0.0896260318,0
30000542,8-OZU1,-0.1803341212,0
30000543,0TYR-T,-0.1555020254,0
30000544,GM-50Y,-0.1667668035,0
30000545,G9L-LP,-0.1478493288,0
30000546,MWA-5Q,-0.3076617182,0
30000547,H-HHTH,-0.4215422628,0
30000548,JQU-KY,-0.2673413591,0
30000549,UY5A-D,-0.4047977084,0
30000550,C-62I5,-0.1175612808,0
30000551,ZH-GKG,-0.1252678939,0
30000552,GPLB-C,-0.2546971598,0
30000553,GGE-5Q,-0.4867313950,0
30000554,5E-CMA,-0.4204256804,0
30000555,U104-3,-0.2667644124,0
30000556,M3-KAQ,-0.3158047214,0
30000557,6-L4YC,-0.2414960772,0
30000558,UM-SCG,-0.3050725536,0
30000559,F-3FOY,-0.4128037666,0
30000560,OAIG-0,-0.3473972823,0
30000561,UZ-QXW,-0.4848184724,0
30000562,5DE-QS,-0.3730283768,0
30000563,R0-DMM,-0.4685800072,0
30000564,5Q65-4,-0.6205077748,0
30000565,SR-4EK,-0.3381576051,0
30000566,0RI-OV,-0.2940064165,0
30000567,C-LTXS,-0.2878239884,0
30000568,C0O6-K,-0.2967877090,0
30000569,HD-AJ7,-0.3133024019,0
30000570,G9NE-B,-0.3299053461,0
30000571,SJJ-4F,-0.2466150176,0
30000572,F-QQ5N,-0.6505233660,0
30000573,1-7B6D,-0.6923944107,0
30000574,H6-EYX,-0.7262842437,0
30000575,U-HVIX,-0.6619212896,0
30000576,4-EFLU,-0.5228060004,0
30000577,EIH-IU,-0.6009419885,0
30000578,F-EM4Q,-0.4296292006,0
30000579,1L-OEK,-0.6646604295,0
30000580,MN-Q26,-0.5109122231,0
30000581,5H-SM2,-0.7108604604,0
30000582,4-OS2A,-0.5951959228,0
30000583,YI-GV6,-0.6408141710,0
30000584,SO-X5L,-0.7033248595,0
30000585,XQS-GZ,-0.5513123856,0
30000586,Q-GQHN,-0.5285758465,0
30000587,A-4JOO,-0.1960289639,0
30000588,TP7-KE,-0.3269291767,0
30000589,R4N-LD,-0.2614946381,0
30000590,3Q-VZA,-0.2499016460,0
30000591,M-MBRT,-0.2392914866,0
30000592,HPBE-D,-0.2916048554,0
30000593,GRHS-B,-0.4581189218,0
30000594,J-RXYN,-0.4587291437,0
30000595,DUO-51,-0.4730031206,0
30000596,07-SLO,-0.3975030046,0
30000597,Z-A8FS,-0.5423556330,0
30000598,GPD5-0,-0.3056842138,0
30000599,LKZ-CY,-0.4495411815,0
30000600,F5M-CC,-0.3867472662,0
30000601,TZE-UB,-0.3239295144,0
30000602,WRL4-2,-0.4095743124,0
30000603,V7G-RL,-0.4412940414,0
30000604,XEN7-0,-0.1864932494,0
30000605,L-Z9KJ,-0.3467443754,0
30000606,7K-NSE,-0.2862598188,0
30000607,OR-7N5,-0.2980689469,0
30000608,JEQG-7,-0.2862094103,0
30000609,5NQI-E,-0.2497209764,0
30000610,B-WQDP,-0.3421525278,0
30000611,2-2EWC,-0.1070951184,0
30000612,E1W-TB,-0.1933371163,0
30000613,D-6H64,-0.0633886989,0
30000614,8-BIE3,-0.0760954314,0
30000615,LMM7-L,-0.1932617774,0
30000616,995-3G,-0.0870203025,0
30000617,W2T-TR,-0.0502633485,0
30000618,Q-UEN6,-0.0554869265,0
30000619,BLMX-B,-0.0323007199,0
30000620,M-CNUD,-0.0434031064,0
30000621,YE1-9S,-0.0505464528,0
30000622,IVP-KA,-0.0630877989,0
30000623,04EI-U,-0.0772734744,0
30000624,B-T6BT,-0.9010969141,0
30000625,VK-A5G,-0.5608118177,0
30000626,I6-SYN,-0.3493166010,0
30000627,O-5TN1,-0.4044791173,0
30000628,8-SPNN,-0.9521641522,0
30000629,U-QMOA,-0.3097907559,0
30000630,4S0-NP,-0.0826034151,0
30000631,K-RMI5,-0.1003208768,0
30000632,C-6YHJ,-0.1293951708,0
30000633,M53-1V,-0.1921027022,0
30000634,E5T-CS,-0.1971987062,0
30000635,W4C8-Q,-0.2721625932,0
30000636,I-2705,-0.0906734518,0
30000637,5F-MG1,-0.3149895337,0
30000638,P7-45V,-0.3385785677,0
30000639,M-MCP8,-0.3857152495,0
30000640,JZ-B5Y,-0.3889556008,0
30000641,TPG-DD,-0.3035746736,0
30000642,NIF-JE,-0.6150638433,0
30000643,BTLH-I,-0.6291512730,0
30000644,U93O-A,-0.8429933002,0
30000645,0LY-W1,-0.5500394385,0
30000646,4YO-QK,-0.9061297147,0
30000647,LJ-RJK,-0.8828175102,0
30000648,8-VC6H,-1.0000000000,0
30000649,LQ-01M,-0.5795548659,0
30000650,NG-M8K,-0.9097819353,0
30000651,RV5-TT,-0.3723657990,0
30000652,8OYE-Z,-0.5344909787,0
30000653,K85Y-6,-1.0000000000,0
30000654,PKN-NJ,-0.2606331827,0
30000655,EIN-QG,-0.1088872899,0
30000656,ARG-3R,-0.0428070913,0
30000657,S-E6ES,-0.1116498510,0
30000658,R-3FBU,-0.0574630883,0
30000659,K7-LDX,-0.1130261059,0
30000660,U-IVGH,-0.1052909747,0
30000661,P-N5N9,-0.0315521551,0
30000662,JMH-PT,-0.2164912041,0
30000663,DE-A7P,-0.4728230429,0
30000664,X9V-15,-0.3162536918,0
30000665,K212-A,-0.0649874388,0
30000666,F-5FDA,-0.0468012536,0
30000667,S1-XTL,-0.1062546478,0
30000668,9PX2-F,-0.0651013057,0
30000669,N3-JBX,-0.1285046849,0
30000670,SG-75T,-0.2918803526,0
30000671,GN-PDU,-0.0902961281,0
30000672,AZ3F-N,-0.0788888503,0
30000673,RNM-Y6,-0.1813469684,0
30000674,V-KDY2,-0.2348681944,0
30000675,FYD-TO,-0.0264815032,0
30000676,ER2O-Y,-0.0427655695,0
30000677,J2-PZ6,-0.3313389815,0
30000678,XV-MWG,-0.4145389514,0
30000679,OAQY-M,-0.5270790572,0
30000680,1V-LI2,-0.4285767640,0
30000681,M9-MLR,-0.3965200064,0
30000682,Q-K2T7,-0.4581816600,0
30000683,LBC-AW,-0.5974887425,0
30000684,2-KPW6,-0.5633048270,0
30000685,H5N-V7,-0.2424279902,0
30000686,HQ-Q1Q,-0.1616673452,0
30000687,WHI-61,-0.0515799118,0
